time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-07T00:01:54.350Z,17.9873,-66.7708,15,2.83,md,12,186,0.1091,0.24,pr,pr2020038000,2020-02-07T08:04:25.902Z,"0km ENE of Santo Domingo, Puerto Rico",earthquake,0.62,0.87,0.2,8,reviewed,pr,pr
2020-02-08T00:42:02.976Z,35.08335114,-95.3636322,5,2.83,ml,27,231.1290092,0.146703124,0.5568250961,ok,ok2020crmn,2020-02-08T03:51:58.765Z,"4km W of Quinton, Oklahoma",earthquake,4.56291779,,,21,automatic,ok,ok
2020-02-08T03:08:09.350Z,17.9166,-66.8855,12,2.83,md,11,219,0.0588,0.19,pr,pr2020039007,2020-02-08T03:34:02.533Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.86,0.48,0.26,6,reviewed,pr,pr
2020-02-02T22:05:02.860Z,18.031,-66.8148,16,2.84,md,8,142,0.0853,0.26,pr,pr2020033067,2020-02-03T09:15:07.324Z,"2km WNW of Guayanilla, Puerto Rico",earthquake,0.89,1.35,0.19,4,reviewed,pr,pr
2020-02-03T15:48:47.780Z,17.9363,-66.8361,11,2.84,md,12,212,0.058,0.26,pr,pr2020034027,2020-02-03T23:51:21.175Z,"3km SW of Indios, Puerto Rico",earthquake,1.3,0.65,0.3,6,reviewed,pr,pr
2020-02-03T21:41:21.690Z,35.5461667,-117.5241667,4.41,2.84,ml,43,48,0.06459,0.13,ci,ci39291168,2020-02-06T02:34:52.040Z,"16km ESE of Ridgecrest, CA",earthquake,0.13,0.38,0.187,125,reviewed,ci,ci
2020-02-08T00:24:23.960Z,17.8295,-66.8848,7,2.84,md,12,253,0.1457,0.13,pr,pr2020039001,2020-02-08T08:27:00.745Z,"19km SSE of Guanica, Puerto Rico",earthquake,0.95,1.53,0.34,9,reviewed,pr,pr
2020-02-03T06:24:35.650Z,17.9713,-67.0171,13,2.85,md,11,204,0.0989,0.14,pr,pr2020034015,2020-02-03T11:02:15.909Z,"3km E of La Parguera, Puerto Rico",earthquake,0.7,0.37,0.26,4,reviewed,pr,pr
2020-02-05T02:05:38.080Z,17.9173,-66.8818,15,2.85,md,12,229,0.0579,0.1,pr,pr2020036006,2020-02-05T10:08:05.028Z,"8km SSE of Guanica, Puerto Rico",earthquake,0.95,0.48,0.4,7,reviewed,pr,pr
2020-02-05T18:23:20.470Z,17.9288,-66.8605,14,2.85,ml,8,225,0.0499,0.66,pr,pr2020036041,2020-02-06T02:25:59.628Z,"6km SE of Guanica, Puerto Rico",earthquake,4.89,2.47,0,0,reviewed,pr,pr
2020-02-07T13:31:06.450Z,17.9101,-66.6115,5,2.85,md,8,210,0.1328,0.18,pr,pr2020038015,2020-02-07T21:33:41.945Z,"11km S of Ponce, Puerto Rico",earthquake,0.85,0.51,0.26,4,reviewed,pr,pr
2020-02-07T22:42:34.350Z,33.576,-116.8145,3.73,2.85,ml,93,19,0.04562,0.22,ci,ci39295664,2020-02-08T18:33:07.384Z,"13km W of Anza, CA",earthquake,0.17,0.56,0.132,25,automatic,ci,ci
2020-02-08T09:29:50.230Z,17.7636,-66.8428,6,2.85,ml,11,252,0.2146,0.2,pr,pr2020039027,2020-02-08T17:32:17.695Z,"27km SSE of Guanica, Puerto Rico",earthquake,1.05,0.73,0,0,reviewed,pr,pr
2020-02-07T21:50:12.630Z,19.2256667,-155.4061667,32.64,2.86,ml,64,141,0.01434,0.12,hv,hv71374407,2020-02-08T02:54:38.130Z,"7km ENE of Pahala, Hawaii",earthquake,0.46,0.55,0.139,42,reviewed,hv,hv
2020-02-02T13:45:06.760Z,17.935,-66.9988,9,2.87,md,12,231,0.1261,0.08,pr,pr2020033062,2020-02-05T19:50:01.040Z,"7km SE of La Parguera, Puerto Rico",earthquake,0.55,0.64,0.25,7,reviewed,pr,pr
2020-02-04T18:01:26.580Z,17.8269,-66.8715,7,2.87,md,11,242,0.1484,0.11,pr,pr2020035040,2020-02-06T18:14:42.040Z,"21km SSE of Guanica, Puerto Rico",earthquake,0.59,0.33,0.28,8,reviewed,pr,pr
2020-02-08T07:12:46.760Z,17.7743,-66.8731,5,2.87,md,11,247,0.2009,0.31,pr,pr2020039012,2020-02-08T07:33:52.756Z,"22km S of Guanica, Puerto Rico",earthquake,0.98,0.87,0.29,8,reviewed,pr,pr
2020-02-08T10:50:42.900Z,17.7263,-66.8371,3,2.87,md,9,281,0.2523,0.28,pr,pr2020039029,2020-02-08T12:54:22.873Z,"28km SSE of Guanica, Puerto Rico",earthquake,1.43,1.16,0.29,2,reviewed,pr,pr
2020-02-03T23:57:28.240Z,17.9413,-66.8483,16,2.88,md,12,210,0.0458,0.19,pr,pr2020034041,2020-02-04T15:16:40.107Z,"14km SE of Guanica, Puerto Rico",earthquake,1.05,0.53,0.29,7,reviewed,pr,pr
2020-02-04T16:06:52.520Z,17.8265,-66.8723,8,2.88,md,12,242,0.1488,0.18,pr,pr2020035034,2020-02-05T00:09:27.656Z,"22km SSE of Guanica, Puerto Rico",earthquake,0.75,0.8,0.27,7,reviewed,pr,pr
2020-02-04T18:15:56.970Z,17.8263,-66.8576,7,2.88,md,12,240,0.1504,0.18,pr,pr2020035041,2020-02-06T18:32:37.040Z,"21km SSE of Guanica, Puerto Rico",earthquake,0.69,0.46,0.3,8,reviewed,pr,pr
2020-02-05T07:01:58.020Z,17.8321,-66.8661,9,2.88,md,12,240,0.1436,0.12,pr,pr2020036016,2020-02-05T07:28:38.834Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.68,0.97,0.32,4,reviewed,pr,pr
2020-02-05T07:34:46.040Z,17.933,-66.8318,15,2.88,md,11,224,0.0634,0.09,pr,pr2020036018,2020-02-05T09:09:53.990Z,"6km S of Indios, Puerto Rico",earthquake,1.12,0.47,0.34,6,reviewed,pr,pr
2020-02-07T10:29:46.320Z,17.774,-66.8943,8,2.88,md,9,274,0.2017,0.13,pr,pr2020038011,2020-02-07T18:32:13.382Z,"31km S of Guanica, Puerto Rico",earthquake,0.81,0.96,0.07,3,reviewed,pr,pr
2020-02-07T14:43:22.580Z,17.8986,-66.668,8,2.88,md,10,213,0.1569,0.16,pr,pr2020038016,2020-02-07T22:46:03.908Z,"11km SSE of Tallaboa, Puerto Rico",earthquake,1.05,1.68,0.3,6,reviewed,pr,pr
2020-02-02T17:03:49.530Z,17.8988,-66.7025,5,2.89,md,12,213,0.1732,0.17,pr,pr2020033061,2020-02-03T08:14:52.244Z,"10km S of Tallaboa, Puerto Rico",earthquake,0.66,0.48,0.07,3,reviewed,pr,pr
2020-02-03T01:16:34.000Z,17.9568,-66.8848,14,2.89,md,12,206,0.0191,0.17,pr,pr2020034008,2020-02-03T08:47:06.932Z,"2km SE of Guanica, Puerto Rico",earthquake,0.84,0.47,0.39,7,reviewed,pr,pr
2020-02-04T10:16:57.460Z,17.8903,-66.8678,15,2.89,md,11,225,0.0856,0.18,pr,pr2020035019,2020-02-04T18:19:31.054Z,"12km SSE of Guanica, Puerto Rico",earthquake,1.02,0.66,0.31,7,reviewed,pr,pr
2020-02-05T11:37:59.750Z,18.0136,-66.7386,12,2.89,md,11,175,0.1355,0.18,pr,pr2020036021,2020-02-05T12:28:14.611Z,"2km WNW of Tallaboa, Puerto Rico",earthquake,0.87,0.63,0.5,5,reviewed,pr,pr
2020-02-08T17:24:16.330Z,17.8906,-66.8393,15,2.89,md,12,240,0.0934,0.11,pr,pr2020039039,2020-02-08T18:43:21.374Z,"11km SE of Guanica, Puerto Rico",earthquake,0.91,0.54,0.08,3,reviewed,pr,pr
2020-02-02T13:22:25.433Z,56.4821,-148.3542,4.5,2.9,ml,,,,0.38,ak,ak0201isluvj,2020-02-05T21:19:52.025Z,"285km ESE of Kodiak, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2020-02-04T03:11:55.748Z,60.5013,-138.2433,0,2.9,ml,,,,1,ak,ak0201lxnx7a,2020-02-04T03:16:47.739Z,"48km SW of Haines Junction, Canada",earthquake,,0.6,,,automatic,ak,ak
2020-02-04T13:03:32.830Z,33.1495,-115.6325,3.02,2.9,ml,59,30,0.03127,0.22,ci,ci39291832,2020-02-08T19:45:51.997Z,"11km WNW of Calipatria, CA",earthquake,0.14,0.27,0.172,90,reviewed,ci,ci
2020-02-05T11:03:48.100Z,17.89,-66.893,9,2.9,md,8,240,0.0862,0.09,pr,pr2020036020,2020-02-05T19:06:23.264Z,"11km S of Guanica, Puerto Rico",earthquake,0.81,0.54,0.03,4,reviewed,pr,pr
2020-02-05T23:11:50.140Z,17.8256,-66.8755,7,2.9,md,12,242,0.1495,0.13,pr,pr2020036048,2020-02-06T07:14:30.962Z,"19km SSE of Guanica, Puerto Rico",earthquake,0.75,1.1,0.29,7,reviewed,pr,pr
